sequence,frame,x,y,w,h,conf,cls_id,cls_name
v_-6Os86HzwCs_c009,1,458.181396484375,496.3857421875,56.6507568359375,97.304443359375,0.7888911962509155,0,person
v_-6Os86HzwCs_c009,1,1035.49267578125,371.65679931640625,64.1611328125,120.85400390625,0.7837833762168884,0,person
v_-6Os86HzwCs_c009,1,104.50392150878906,245.64141845703125,40.46592712402344,134.3548583984375,0.6169567108154297,0,person
v_-6Os86HzwCs_c009,1,859.7086181640625,278.640380859375,33.150146484375,91.48455810546875,0.6162707209587097,0,person
v_-6Os86HzwCs_c009,1,226.59036254882812,402.1995849609375,72.83441162109375,127.79620361328125,0.5788120031356812,0,person
v_-6Os86HzwCs_c009,1,766.6666259765625,359.83819580078125,40.826171875,103.0909423828125,0.5566071271896362,0,person
v_-6Os86HzwCs_c009,1,950.0269775390625,255.32257080078125,24.633544921875,75.2138671875,0.5532240271568298,0,person
v_-6Os86HzwCs_c009,1,376.4744873046875,235.58316040039062,60.0972900390625,115.17498779296875,0.5029520988464355,0,person
v_-6Os86HzwCs_c009,1,414.1782531738281,186.68756103515625,35.7752685546875,90.32733154296875,0.4391075074672699,0,person
v_-6Os86HzwCs_c009,1,296.35211181640625,449.2934265136719,86.8050537109375,128.90042114257812,0.42985719442367554,0,person
v_-6Os86HzwCs_c009,1,1113.96240234375,237.42572021484375,31.7392578125,78.087158203125,0.29989612102508545,0,person
v_-6Os86HzwCs_c009,1,315.3453369140625,451.22332763671875,54.52197265625,90.02783203125,0.27662113308906555,0,person
v_-6Os86HzwCs_c009,1,0.1320648193359375,179.14300537109375,27.86690330505371,35.834228515625,0.2741672694683075,0,person
v_-6Os86HzwCs_c009,6,492.5500183105469,489.291748046875,40.564239501953125,105.594970703125,0.672066867351532,0,person
v_-6Os86HzwCs_c009,6,322.94683837890625,410.57476806640625,38.60540771484375,117.2271728515625,0.654841959476471,0,person
v_-6Os86HzwCs_c009,6,153.9541015625,241.31036376953125,40.26373291015625,138.62677001953125,0.6450005769729614,0,person
v_-6Os86HzwCs_c009,6,458.61077880859375,184.71212768554688,33.5059814453125,84.73641967773438,0.5696669220924377,0,person
v_-6Os86HzwCs_c009,6,398.7961120605469,437.48431396484375,52.5274658203125,128.574951171875,0.5658342242240906,0,person
v_-6Os86HzwCs_c009,6,417.35980224609375,227.12477111816406,38.7471923828125,117.31968688964844,0.5211672782897949,0,person
v_-6Os86HzwCs_c009,6,1038.428955078125,375.5284423828125,32.6279296875,113.8927001953125,0.5146482586860657,0,person
v_-6Os86HzwCs_c009,6,1102.955078125,234.59979248046875,69.281494140625,80.5447998046875,0.4687003195285797,0,person
v_-6Os86HzwCs_c009,6,951.3094482421875,245.42657470703125,33.1552734375,77.2171630859375,0.40813806653022766,0,person
v_-6Os86HzwCs_c009,6,844.6141357421875,270.5908203125,61.1776123046875,101.0665283203125,0.3710521459579468,0,person
v_-6Os86HzwCs_c009,6,846.9095458984375,271.23480224609375,45.90380859375,90.953857421875,0.28888970613479614,0,person
v_-6Os86HzwCs_c009,6,399.13311767578125,441.4515380859375,37.904541015625,120.8753662109375,0.28526729345321655,0,person
v_-6Os86HzwCs_c009,11,363.6602783203125,397.23724365234375,89.9393310546875,133.6439208984375,0.7257012128829956,0,person
v_-6Os86HzwCs_c009,11,451.86322021484375,433.1350402832031,52.519775390625,129.04830932617188,0.7015513181686401,0,person
v_-6Os86HzwCs_c009,11,507.70263671875,489.480712890625,48.3575439453125,104.635986328125,0.7004023790359497,0,person
v_-6Os86HzwCs_c009,11,191.99510192871094,233.9742431640625,39.95989990234375,140.7928466796875,0.6176776885986328,0,person
v_-6Os86HzwCs_c009,11,1123.1158447265625,222.2516632080078,42.709716796875,97.02378845214844,0.6006284952163696,0,person
v_-6Os86HzwCs_c009,11,495.73211669921875,178.64382934570312,32.4599609375,85.73886108398438,0.5375314354896545,0,person
v_-6Os86HzwCs_c009,11,428.52337646484375,263.6522216796875,47.5772705078125,78.513671875,0.5064751505851746,0,person
v_-6Os86HzwCs_c009,11,954.5894775390625,269.51690673828125,33.34326171875,56.6611328125,0.4669284224510193,0,person
v_-6Os86HzwCs_c009,11,23.626707077026367,247.09356689453125,34.81951904296875,98.9605712890625,0.4301837980747223,0,person
v_-6Os86HzwCs_c009,11,799.6885986328125,369.28265380859375,36.815673828125,94.1937255859375,0.42118367552757263,0,person
v_-6Os86HzwCs_c009,11,429.3290710449219,223.56735229492188,44.01715087890625,118.62457275390625,0.3869495093822479,0,person
v_-6Os86HzwCs_c009,11,1030.14599609375,369.26727294921875,41.96435546875,90.924560546875,0.3146573305130005,0,person
v_-6Os86HzwCs_c009,11,838.052734375,278.8187255859375,37.267578125,87.27294921875,0.293679416179657,0,person
v_-6Os86HzwCs_c009,11,844.9932861328125,277.7172546386719,28.0635986328125,69.60491943359375,0.26340776681900024,0,person
v_-6Os86HzwCs_c009,16,455.98492431640625,402.5540771484375,49.342529296875,130.57415771484375,0.7343208193778992,0,person
